#separator:tab
#html:true
#notetype:Basic
#deck:Python::Python Fundamentals
#tags column:3
#columns:Front	Back	Tags
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: `is` checks identity (same object)</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`==` checks value equality.</div>	domain::python course::python_fundamentals section::ch_1_python_basics_environment
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Difference between list comprehension and generator expression?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">List comprehension creates full list in memory. Generator expression ((...)) yields lazily -- memory efficient for large sequences.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When to use generator expression vs list comprehension?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Generator for large/infinite sequences, chaining, memory-constrained. List for small data, need random access/len/indexing.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to sum squares using a generator expression?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">sum(x**2 for x in range(10)) -- no extra brackets needed as sole argument.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the lambda syntax?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">lambda args: expression -- single expression only, no statements.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Lambda with default arguments?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">lambda a, b=2: a * b -- defaults evaluated at definition time.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Common lambda use case?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">key= functions: sorted(items, key=lambda x: x[1]) or map/filter callbacks.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Late-binding gotcha with lambdas in loops?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">funcs = [lambda: i for i in range(3)] -> all return 2. Fix: lambda i=i: i binds value as default.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When to prefer def over lambda?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Named function needed, multiple statements, recursion, docstring/type hints, readability.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does map(func, iterable) do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Returns iterator applying func to each item: list(map(str.upper, ["a", "b"])) -> ["A", "B"].</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does filter(func, iterable) do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Returns iterator of items where func is truthy: list(filter(lambda x: x>5, range(10))) -> [6,7,8,9].</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does functools.reduce(func, iterable) do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Cumulatively applies binary function: reduce(lambda a,b: a+b, [1,2,3]) -> 6. With initializer: reduce(add, [], 0) -> 0.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's functools.partial for?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Fix some arguments of a function: square = partial(pow, exp=2) -> square(5) = 25.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.count do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Infinite counter: zip(count(), ['a','b']) -> [(0,'a'), (1,'b')].</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.cycle do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Infinite repetition: islice(cycle([1,2]), 5) -> [1,2,1,2,1].</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.islice do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Slice an iterator: islice(range(100), 5, 15) -> [5..14] without creating full list.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.chain do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Concatenate iterables: chain([1,2], [3,4]) -> [1,2,3,4]. chain.from_iterable(matrix) flattens.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Difference between product, permutations, combinations?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">product = Cartesian product (ordered, with replacement). permutations = ordered, no replacement. combinations = unordered, no replacement.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.groupby require?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Input must be pre-sorted by the grouping key. Groups consecutive items with same key.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does operator.itemgetter do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Returns callable extracting item by index/key: itemgetter(1)(["a","b"]) -> "b". Often clearer than a lambda for simple extraction.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does operator.attrgetter do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Extracts attribute: attrgetter("age")(person) -> person.age. Use with sorted(key=).</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does operator.methodcaller do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Calls method by name: methodcaller("upper")("hi") -> "HI". methodcaller("replace"," ","-")("a b") -> "a-b".</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to group by key using dict comprehension?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">{k: [v for k2,v in data if k2==k] for k in set(k for k,_ in data)} -- inefficient for large data.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Better way to group -- use itertools.groupby?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Sort first, then {k: [v for _,v in g] for k,g in groupby(sorted_data, key=lambda x: x[0])}.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the operator module arithmetic functions?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">add(a,b), mul(a,b), sub(a,b), truediv(a,b) -- use with reduce: reduce(add, [1,2,3]) -> 6.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the difference between a module and a package?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Module = single .py file. Package = directory with __init__.py (or PEP 420 namespace package) containing modules/subpackages. [Source: docs.python.org/3/tutorial/modules.html]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When does __init__.py run?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When the package or any submodule is FIRST imported. Runs once per interpreter session. [Source: docs.python.org/3/reference/import.html#regular-packages]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does __all__ do in __init__.py?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Defines public API for `from package import *`. Lists names to export. Also documents intended public interface. [Source: docs.python.org/3/tutorial/modules.html#importing-from-a-package]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Absolute vs relative imports -- which to prefer?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Absolute imports (PEP 8) -- unambiguous, work everywhere. Relative imports only work inside packages. [Source: PEP 8 -- Imports]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Relative import syntax?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`from . import module` (same package), `from .. import module` (parent package), `from ..sub import func`. [Source: PEP 328]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is a namespace package (PEP 420)?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Package WITHOUT __init__.py -- multiple directories merge into one namespace. Used for plugins, split distributions. [Source: PEP 420]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to dynamically import a module by string name?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`importlib.import_module("json")` or `importlib.import_module(".module_a", package="mypackage")` for relative. [Source: docs.python.org/3/library/importlib.html#importlib.import_module]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to reload a module after editing?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`importlib.reload(module)` -- re-executes module code, updates sys.modules. [Source: docs.python.org/3/library/importlib.html#importlib.reload]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to load a module from a file path?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`spec = importlib.util.spec_from_file_location("name", "/path/to/file.py"); module = importlib.util.module_from_spec(spec); spec.loader.exec_module(module)` [Source: docs.python.org/3/library/importlib.html#importlib.util.spec_from_file_location]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to read a data file bundled with a package?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`importlib.resources.files("pkg.data").joinpath("file.json").read_text()` (Python 3.9+). Binary: `.read_bytes()`. [Source: docs.python.org/3/library/importlib.resources.html]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does pkgutil.get_data() do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Legacy way to read package data as bytes: `pkgutil.get_data("mypackage", "data/config.json")`. [Source: docs.python.org/3/library/pkgutil.html#pkgutil.get_data]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does runpy.run_module() do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Runs a module as __main__ (like `python -m module`). `runpy.run_module("mymodule", run_name="__main__")`. [Source: docs.python.org/3/library/runpy.html]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How does Python find modules?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Searches sys.path: 1) script directory, 2) PYTHONPATH, 3) standard library, 4) site-packages. [Source: docs.python.org/3/library/sys.html#sys.path]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to add a directory to module search path at runtime?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`sys.path.insert(0, "/custom/path")` -- but prefer virtual env + `pip install -e .` instead. [Source: docs.python.org/3/library/sys.html#sys.path]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the `if __name__ == "__main__"` pattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Code under this block only runs when file executed directly (`python file.py`), not when imported. [Source: docs.python.org/3/library/__main__.html]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What causes circular imports and how to fix?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Module A imports B, B imports A. Fix: move import inside function (lazy), restructure, or use importlib. [Source: docs.python.org/3/faq/programming.html#what-are-the-best-practices-for-using-import-in-a-module]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the src/ layout for packages?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Package code in `src/mypackage/` -- avoids accidental imports from working dir, matches installed structure. [Source: packaging.python.org/en/latest/tutorials/packaging-projects]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's pyproject.toml for?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Modern packaging config (PEP 517/518/621). Defines build-system, project metadata, dependencies, optional deps. [Source: PEP 621]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to install package in editable mode?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`pip install -e .` -- installs with symlinks, edits reflect immediately without reinstall. [Source: PEP 660]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's a conditional import?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`try: import ujson as json except ImportError: import json` -- optional dependency with fallback. [Source: PEP 8]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does leading underscore mean in module names?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`_private` -- convention for internal use. Not imported by `from module import *` unless in __all__. [Source: PEP 8]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's __package__ attribute?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Package name of the module. Empty string for top-level scripts. Used by relative imports to resolve. [Source: docs.python.org/3/reference/import.html]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to iterate modules in a package?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`pkgutil.iter_modules(package.__path__)` -- yields (importer, modname, ispkg) for each module. [Source: docs.python.org/3/library/pkgutil.html#pkgutil.iter_modules]</div>	domain::python course::python_fundamentals section::ch_7_modules_packages_imports
