#separator:tab
#html:true
#notetype:Basic
#deck:SQL::SQL Fundamentals
#tags column:3
#columns:Front	Back	Tags
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does `NULL = NULL` evaluate to?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">UNKNOWN (neither TRUE nor FALSE). So `WHERE col = NULL` never returns any rows. You must use `WHERE col IS NULL`.</div>	domain::sql course::sql_fundamentals section::ch_1_null_semantics
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the difference between COUNT(col) and COUNT(*)?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">COUNT(col) ignores NULL rows. COUNT(*) counts all rows, including NULLs.</div>	domain::sql course::sql_fundamentals section::ch_1_null_semantics
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is `NULL * 0`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">NULL. Any arithmetic operation with NULL yields NULL. Even 0 * NULL is NULL.</div>	domain::sql course::sql_fundamentals section::ch_1_null_semantics
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the difference between UNION and UNION ALL?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">UNION combines results and removes duplicates (requires sort/hash). UNION ALL keeps duplicates (faster). Use UNION ALL unless you actually need dedup.</div>	domain::sql course::sql_fundamentals section::ch_1_union
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Does SQL work on Sets or Bags?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Bag (multiset). SQL tables can have duplicate rows, but mathematical relations cannot. SELECT DISTINCT converts a bag to a set.</div>	domain::sql course::sql_fundamentals section::ch_1_set_vs_bag
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why is SELECT * bad in production?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">1) Extra data (bandwidth, memory), 2) App breaks if schema changes, 3) Covering index won't work, 4) Query intent is unclear.</div>	domain::sql course::sql_fundamentals section::ch_1_interview_keys
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the difference between DELETE vs TRUNCATE vs DROP?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">DELETE = remove specific rows (slow, row-level triggers fire, always rollbackable). TRUNCATE = remove all rows fast — row-level triggers don't fire, but PostgreSQL fires statement-level TRUNCATE triggers. DROP = remove table + schema entirely.</div>	domain::sql course::sql_fundamentals section::ch_1_interview_keys
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is a B-tree index and what operations does it support?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A balanced tree structure that keeps data sorted. Supports equality lookup (O(log N)), range scans (O(log N + K)), ORDER BY, and prefix matching (LIKE 'abc%'). It's the default index in most databases.</div>	domain::sql course::sql_fundamentals section::ch_2_b_tree_index_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why can't a B-tree index help with `WHERE name LIKE '%Alice'`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Leading wildcard forces a full scan — the index is sorted, so you can't skip to the middle. Leading wildcards like `LIKE 'Alice%'` CAN use the index.</div>	domain::sql course::sql_fundamentals section::ch_2_b_tree_index_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why does `WHERE YEAR(created_at) = 2024` not use an index on created_at?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">The function wraps the indexed column — the optimizer can't match it to the index. Fix: use a range `WHERE created_at &gt;= '2024-01-01' AND created_at &lt; '2025-01-01'`, or create a functional index.</div>	domain::sql course::sql_fundamentals section::ch_2_b_tree_index_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the leftmost prefix rule for composite indexes?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A composite index (a, b, c) can be used for queries on `a` alone, `a+b`, or `a+b+c` — but NOT for `b`, `c`, or `b+c` alone. The index is sorted by `a` first, so skipping `a` breaks the sorted order.</div>	domain::sql course::sql_fundamentals section::ch_2_composite_index_leftmost_prefix
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why put equality columns before range columns in a composite index?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Equality on a column narrows the scan within that level. A range stops the index scan — so columns after the range can't be used. Example: index (status, created_at) works for `WHERE status='active' AND created_at &gt; '2024-01-01'` but NOT the reverse.</div>	domain::sql course::sql_fundamentals section::ch_2_composite_index_leftmost_prefix
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is a covering index?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">An index containing all columns a query needs, so the DB never touches the table rows. Shows as "Using index" (MySQL) or "Index Only Scan" (PG). Dramatically reduces I/O.</div>	domain::sql course::sql_fundamentals section::ch_2_composite_index_leftmost_prefix
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the difference between a clustered and non-clustered index?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Clustered index controls data row ordering — in MySQL/InnoDB and SQL Server, one per table (usually PK). PostgreSQL has no persistent clustered index: CLUSTER reorders the heap once but doesn't maintain it. Non-clustered index is a separate structure with row pointers — lookup needs an extra table fetch unless it's a covering index.</div>	domain::sql course::sql_fundamentals section::ch_2_index_types
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When would you use a partial (filtered) index?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When you mostly query a subset of rows (e.g., `WHERE status = 'active'`). The index only stores matching rows — smaller, faster to maintain. Supported in PostgreSQL and SQL Server.</div>	domain::sql course::sql_fundamentals section::ch_2_index_types
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">In MySQL EXPLAIN, what does `type` column tell you?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">The access path, best to worst: system &gt; const &gt; eq_ref &gt; ref &gt; range &gt; index &gt; ALL. ALL = full table scan (usually bad on large tables with selective WHERE).</div>	domain::sql course::sql_fundamentals section::ch_2_reading_explain_output
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does "Using filesort" mean in MySQL EXPLAIN?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">The DB must perform an extra sort step because the ORDER BY can't be satisfied by the index. Often a red flag — add an index covering the ORDER BY columns.</div>	domain::sql course::sql_fundamentals section::ch_2_reading_explain_output
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does "Using temporary" mean in MySQL EXPLAIN?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A temporary table was created during query execution — usually for GROUP BY, DISTINCT, or certain JOIN patterns. Can be expensive on large datasets.</div>	domain::sql course::sql_fundamentals section::ch_2_reading_explain_output
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does the query optimizer decide?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Access path (full scan vs index), join order, join algorithm (nested loop vs hash vs merge), aggregation strategy (hash vs sort), and parallelism. It's cost-based — finds the cheapest plan, not necessarily the fastest.</div>	domain::sql course::sql_fundamentals section::ch_2_execution_plans_optimizer
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why would a query be fast in dev but slow in production?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">1) Different table stats — dev has 100 rows (full scan fine), prod has 10M. 2) Stale statistics — run ANALYZE. 3) Data distribution differs. 4) Index missing in prod. 5) Parameter sniffing — same query, different parameter values, cached plan is suboptimal.</div>	domain::sql course::sql_fundamentals section::ch_2_execution_plans_optimizer
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is parameter sniffing?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">The DB caches a plan based on the first parameter values it sees. If later parameters have very different distributions, the cached plan may be suboptimal. Fix: RECOMPILE hint, pg_hint_plan, or plan_cache_mode settings.</div>	domain::sql course::sql_fundamentals section::ch_2_execution_plans_optimizer
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When is a full table scan actually faster than using an index?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When the optimizer estimates that sequential I/O (full scan) is cheaper than index lookup + random I/O per matched row. This depends on table size, storage type, buffer cache, and data distribution — there's no fixed percentage. Use EXPLAIN (ANALYZE, BUFFERS) in PostgreSQL or EXPLAIN in MySQL to confirm the optimizer's choice.</div>	domain::sql course::sql_fundamentals section::ch_2_index_maintenance
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why does `WHERE phone = 5551234` fail to use an index on a VARCHAR column?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Implicit type cast — comparing VARCHAR to INT converts every row's value, preventing index use. Fix: `WHERE phone = '5551234'` (explicit string literal).</div>	domain::sql course::sql_fundamentals section::ch_2_index_maintenance
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How do you find unused indexes?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">MySQL: `SELECT * FROM sys.schema_unused_indexes`. PostgreSQL: `SELECT indexrelname, idx_scan FROM pg_stat_user_indexes WHERE idx_scan = 0`. Remove them to speed up writes.</div>	domain::sql course::sql_fundamentals section::ch_2_index_maintenance
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the "Jaywalking" antipattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Storing multiple values in one column (comma-separated list). Problem: no FK, no index, querying requires FIND_IN_SET or LIKE. Fix: always use a join table.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How do you model hierarchical data in SQL?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Four techniques: adjacency list (parent_id — simple, depth-limited), nested sets (nsleft/nsright — great reads, painful writes), path enumeration (string path — simple ancestry), closure table (separate ancestor-descendant table — flexible, recommended). Pick closure table for most cases.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is a Closure Table?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A separate table storing all ancestor-descendant pairs with depth. Query: find descendants by ancestor, find ancestors by descendant. Insert: copy all ancestors of parent + self. Supports arbitrary depth with single queries.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When is the adjacency list (parent_id) model OK?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When you only need the immediate parent (e.g., employee → manager) and never need full tree traversal. Shallow hierarchies only.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's wrong with making every table have an auto-increment id?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">It's the "ID Required" antipattern. Natural keys exist and are stable — use them. Surrogate keys add index overhead, obscure meaning, and expose business info (order count). Start with natural key, add surrogate only when needed.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When are surrogate keys actually good?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When no stable natural key exists, natural key is wide (&gt;4 columns), or in distributed systems (UUID/ULID). Also for framework convention (Rails, Django).</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's wrong with "we enforce data integrity in the app"?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">The "Keyless Entry" antipattern. App code has bugs → dirty data. Every client re-implements checks. No FK enforcement, orphaned rows. DB constraints are atomic, consistent, and enforced for all access paths.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the EAV (Entity-Attribute-Value) antipattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A "generic schema" with rows of (entity_id, attr_name, attr_value). Problems: all values stored as VARCHAR (no type safety), can't enforce FKs, SELECT requires N joins or pivot queries, no required attributes. Almost always wrong.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What are better alternatives to EAV?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Single Table Inheritance (few shared attributes in one table + nullable subtype columns), Class Table Inheritance (common table + subtype-specific tables), or JSONB for truly dynamic attributes.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the Polymorphic Associations antipattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A FK column that references any table: parent_type + parent_id. Problem: no referential integrity (DB can't enforce FK to multiple tables), JOINs need UNION or conditional. Fix: reverse the relationship (separate join table per parent type) or use a shared supertable.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When is Polymorphic Associations OK?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Auditing/logging where referential integrity isn't needed. Never for domain data.</div>	domain::sql course::sql_fundamentals section::ch_3_logical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's wrong with storing FLOAT for money?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Floating point can't represent exact decimals (0.1+0.2=0.30000000000000004). Use DECIMAL(precision, scale) or store as cents in BIGINT.</div>	domain::sql course::sql_fundamentals section::ch_3_physical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the Metadata Tribbles antipattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Creating separate tables/columns for similar data over time: Bugs_2009, Bugs_2010. Problem: querying across years = UNION ALL N tables, adding a year = schema change. Fix: a single table with a year column + partitioning.</div>	domain::sql course::sql_fundamentals section::ch_3_physical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why are ENUMs problematic in production?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Adding a value requires ALTER TABLE (DDL → table lock → potential downtime). No referential integrity (can't FK to ENUM). Different tables drift out of sync. Prefer a lookup table — new values are INSERT (DML), not ALTER TABLE.</div>	domain::sql course::sql_fundamentals section::ch_3_physical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When are ENUMs acceptable?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Truly fixed sets (US state abbreviations, ISO country codes — but even then, a lookup table costs nothing). Small internal apps where status never changes and downtime is acceptable.</div>	domain::sql course::sql_fundamentals section::ch_3_physical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's wrong with storing multiple tag columns (tag1, tag2, tag3)?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Querying is awkward (WHERE tag1='x' OR tag2='x' OR tag3='x'), adding a 4th tag = ALTER TABLE. Fix: join table.</div>	domain::sql course::sql_fundamentals section::ch_3_physical_design_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the "Phantom Files" antipattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Storing a file path in the DB, actual file on disk. Problems: DB row &amp; file get out of sync, backup needs two processes, no transactional consistency. Fix: store BLOB in DB (small files) or object store with checksum.</div>	domain::sql course::sql_fundamentals section::ch_3_query_application_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why is SELECT * bad in views and procedures?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Returns columns in table-definition order, adding a column changes the view output (breaks consuming code), can't use covering indexes effectively, extra data on wire. Always name columns explicitly.</div>	domain::sql course::sql_fundamentals section::ch_3_query_application_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's wrong with using -1 or 'N/A' instead of NULL?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">The "Fear of the Unknown" antipattern. Sentinel values break aggregate functions (AVG includes -1, COUNT includes sentinels), every app must know the convention, impossible for FKs. Use NULL — the DB is designed for it.</div>	domain::sql course::sql_fundamentals section::ch_3_query_application_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When are sentinel values OK?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Reporting tools that can't handle NULLs (but fix the tool, not the data). Or when NULL is semantically different from "missing" (rare — consider a separate flag column).</div>	domain::sql course::sql_fundamentals section::ch_3_query_application_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the "Spaghetti Query" antipattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">One giant query with 12+ JOINs, 5-level nested subqueries, duplicated logic. Fix: CTEs, temp tables, views, or break into app-level steps.</div>	domain::sql course::sql_fundamentals section::ch_3_query_application_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the "God Table" antipattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A table with 50+ columns used by every feature. Problems: wide rows, row/page size limits, lock contention, ORM nightmare. Fix: vertical partitioning — split by domain.</div>	domain::sql course::sql_fundamentals section::ch_3_query_application_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the "Too Many Joins" antipattern?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Pulling in tables only used as bridges, using JOIN where EXISTS suffices, deduping with DISTINCT because JOINs multiplied rows. Fix: use EXISTS for existence checks, pre-aggregate with CTE.</div>	domain::sql course::sql_fundamentals section::ch_3_query_application_antipatterns
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the worst SQL antipattern and why?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">EAV or Jaywalking — both are common, break normalization, destroy queryability, and require costly rewrites. EAV: all values as VARCHAR, no type safety. Jaywalking: no FK, can't index.</div>	domain::sql course::sql_fundamentals section::ch_3_interview_keys
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How would you redesign an EAV system?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Analyze common vs subtype-specific vs dynamic attributes. Common → columns, subtype-specific → class table inheritance, dynamic → JSONB. Migrate in stages: new schema, write to both, backfill, drop EAV.</div>	domain::sql course::sql_fundamentals section::ch_3_interview_keys
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How would you store a threaded comments system with infinite nesting?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Closure table. It handles arbitrary depth, ancestor/descendant queries in single SQL, and mixed read/write workloads. Alternative: path enumeration for simpler ancestry-only queries.</div>	domain::sql course::sql_fundamentals section::ch_3_interview_keys
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Should I use ENUM or a lookup table?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Always prefer lookup table unless the values are truly fixed forever. ENUM = DDL (ALTER TABLE, lock, downtime). Lookup table = DML (INSERT, no downtime, FK-able).</div>	domain::sql course::sql_fundamentals section::ch_3_interview_keys
